datetime,registered_count,direct_count,total_count,hour,day_of_month,month,year,day_of_week,is_weekend,date,conditions,temperature_c,perceived_temperature_c,humidity,windspeed_kmh,is_holiday
2011-01-07 22:00:00,34,2,36,22,7,1,2011,4,False,2011-01-07,clouds,0.5,-3.0,43.0,11.0,False
2011-01-07 23:00:00,14,1,15,23,7,1,2011,4,False,2011-01-07,clouds,0.5,-3.0,51.0,11.0,False
2011-01-08 00:00:00,24,1,25,0,8,1,2011,5,True,2011-01-08,clouds,0.5,-3.0,51.0,11.0,False
2011-01-08 01:00:00,15,1,16,1,8,1,2011,5,True,2011-01-08,clouds,0.5,-2.0,55.0,6.0,False
2011-01-08 02:00:00,13,3,16,2,8,1,2011,5,True,2011-01-08,clouds,0.5,-0.0,55.0,0.0,False
2011-01-08 03:00:00,7,0,7,3,8,1,2011,5,True,2011-01-08,light_rain,0.5,-3.0,55.0,11.0,False
2011-01-08 04:00:00,1,0,1,4,8,1,2011,5,True,2011-01-08,light_rain,0.5,-3.0,55.0,11.0,False
2011-01-08 05:00:00,5,0,5,5,8,1,2011,5,True,2011-01-08,clouds,-0.5,-5.0,74.0,11.0,False
2011-01-08 06:00:00,2,0,2,6,8,1,2011,5,True,2011-01-08,clouds,-0.5,-5.0,74.0,11.0,False
2011-01-08 07:00:00,8,1,9,7,8,1,2011,5,True,2011-01-08,clouds,-0.5,-4.0,74.0,7.0,False
2011-01-08 08:00:00,15,0,15,8,8,1,2011,5,True,2011-01-08,light_rain,-0.5,-4.0,93.0,7.0,False
2011-01-08 09:00:00,20,0,20,9,8,1,2011,5,True,2011-01-08,light_rain,-0.5,-4.0,93.0,7.0,False
2011-01-08 10:00:00,56,5,61,10,8,1,2011,5,True,2011-01-08,clouds,0.5,-3.0,80.0,11.0,False
2011-01-08 11:00:00,60,2,62,11,8,1,2011,5,True,2011-01-08,clouds,1.4,-4.0,69.0,26.0,False
2011-01-08 12:00:00,90,8,98,12,8,1,2011,5,True,2011-01-08,clouds,1.4,-4.0,59.0,24.0,False
2011-01-08 13:00:00,95,7,102,13,8,1,2011,5,True,2011-01-08,clear,1.4,-4.0,44.0,22.0,False
2011-01-08 14:00:00,83,12,95,14,8,1,2011,5,True,2011-01-08,clear,1.4,-5.0,32.0,33.0,False
2011-01-08 15:00:00,69,5,74,15,8,1,2011,5,True,2011-01-08,clear,1.4,-5.0,32.0,30.0,False
2011-01-08 16:00:00,68,8,76,16,8,1,2011,5,True,2011-01-08,clear,0.5,-7.0,29.0,30.0,False
2011-01-08 17:00:00,64,5,69,17,8,1,2011,5,True,2011-01-08,clear,-0.5,-8.0,37.0,37.0,False
2011-01-08 18:00:00,52,3,55,18,8,1,2011,5,True,2011-01-08,clear,-1.4,-8.0,39.0,20.0,False
2011-01-08 19:00:00,26,4,30,19,8,1,2011,5,True,2011-01-08,clear,-1.4,-8.0,36.0,17.0,False
2011-01-08 20:00:00,28,0,28,20,8,1,2011,5,True,2011-01-08,clear,-2.4,-8.0,36.0,17.0,False
2011-01-08 21:00:00,35,2,37,21,8,1,2011,5,True,2011-01-08,clear,-2.4,-9.0,39.0,24.0,False
2011-01-08 22:00:00,33,1,34,22,8,1,2011,5,True,2011-01-08,clear,-2.4,-9.0,36.0,26.0,False
2011-01-08 23:00:00,22,0,22,23,8,1,2011,5,True,2011-01-08,clear,-3.3,-12.0,39.0,30.0,False
2011-01-09 00:00:00,24,1,25,0,9,1,2011,6,True,2011-01-09,clear,-3.3,-11.0,42.0,26.0,False
2011-01-09 01:00:00,12,0,12,1,9,1,2011,6,True,2011-01-09,clear,-3.3,-12.0,42.0,31.0,False
2011-01-09 02:00:00,11,0,11,2,9,1,2011,6,True,2011-01-09,clear,-3.3,-12.0,46.0,31.0,False
2011-01-09 03:00:00,4,0,4,3,9,1,2011,6,True,2011-01-09,clear,-3.3,-11.0,46.0,28.0,False
2011-01-09 04:00:00,1,0,1,4,9,1,2011,6,True,2011-01-09,clear,-4.2,-10.0,53.0,13.0,False
2011-01-09 05:00:00,1,0,1,5,9,1,2011,6,True,2011-01-09,clear,-4.2,-10.0,53.0,13.0,False
2011-01-09 06:00:00,1,0,1,6,9,1,2011,6,True,2011-01-09,clear,-3.3,-10.0,49.0,19.0,False
2011-01-09 07:00:00,5,1,6,7,9,1,2011,6,True,2011-01-09,clear,-4.2,-10.0,53.0,13.0,False
2011-01-09 08:00:00,10,0,10,8,9,1,2011,6,True,2011-01-09,clear,-3.3,-10.0,49.0,19.0,False
2011-01-09 09:00:00,19,0,19,9,9,1,2011,6,True,2011-01-09,clear,-2.4,-11.0,46.0,35.0,False
2011-01-09 10:00:00,49,0,49,10,9,1,2011,6,True,2011-01-09,clear,-1.4,-9.0,43.0,26.0,False
2011-01-09 11:00:00,47,2,49,11,9,1,2011,6,True,2011-01-09,clear,-0.5,-8.0,40.0,35.0,False
2011-01-09 12:00:00,79,4,83,12,9,1,2011,6,True,2011-01-09,clear,0.5,-7.0,37.0,30.0,False
2011-01-09 13:00:00,69,6,75,13,9,1,2011,6,True,2011-01-09,clear,1.4,-5.0,34.0,30.0,False
2011-01-09 14:00:00,64,8,72,14,9,1,2011,6,True,2011-01-09,clear,2.3,-4.0,32.0,31.0,False
2011-01-09 15:00:00,77,5,82,15,9,1,2011,6,True,2011-01-09,clear,2.3,-3.0,35.0,24.0,False
2011-01-09 16:00:00,79,13,92,16,9,1,2011,6,True,2011-01-09,clear,1.4,-5.0,34.0,30.0,False
2011-01-09 17:00:00,59,3,62,17,9,1,2011,6,True,2011-01-09,clear,0.5,-6.0,37.0,26.0,False
2011-01-09 18:00:00,44,4,48,18,9,1,2011,6,True,2011-01-09,clear,-0.5,-7.0,40.0,22.0,False
2011-01-09 19:00:00,40,1,41,19,9,1,2011,6,True,2011-01-09,clear,-0.5,-7.0,43.0,22.0,False
2011-01-09 20:00:00,38,0,38,20,9,1,2011,6,True,2011-01-09,clear,-1.4,-8.0,46.0,17.0,False
2011-01-09 21:00:00,19,1,20,21,9,1,2011,6,True,2011-01-09,clear,-1.4,-9.0,46.0,28.0,False
2011-01-09 22:00:00,10,5,15,22,9,1,2011,6,True,2011-01-09,clear,-1.4,-8.0,46.0,20.0,False
2011-01-09 23:00:00,6,0,6,23,9,1,2011,6,True,2011-01-09,clear,-2.4,-7.0,50.0,13.0,False
2011-01-10 00:00:00,3,2,5,0,10,1,2011,0,False,2011-01-10,clear,-2.4,-8.0,50.0,19.0,False
2011-01-10 01:00:00,0,1,1,1,10,1,2011,0,False,2011-01-10,clear,-2.4,-8.0,50.0,19.0,False
2011-01-10 02:00:00,3,0,3,2,10,1,2011,0,False,2011-01-10,clear,-2.4,-8.0,50.0,15.0,False
2011-01-10 03:00:00,1,0,1,3,10,1,2011,0,False,2011-01-10,clear,-2.4,-8.0,50.0,15.0,False
2011-01-10 04:00:00,2,1,3,4,10,1,2011,0,False,2011-01-10,clear,-3.3,-8.0,54.0,9.0,False
2011-01-10 05:00:00,3,0,3,5,10,1,2011,0,False,2011-01-10,clear,-3.3,-9.0,54.0,17.0,False
2011-01-10 06:00:00,31,0,31,6,10,1,2011,0,False,2011-01-10,clear,-2.4,-8.0,50.0,19.0,False
2011-01-10 07:00:00,75,2,77,7,10,1,2011,0,False,2011-01-10,clear,-2.4,-8.0,50.0,15.0,False
2011-01-10 08:00:00,184,4,188,8,10,1,2011,0,False,2011-01-10,clouds,-2.4,-8.0,50.0,19.0,False
2011-01-10 09:00:00,92,2,94,9,10,1,2011,0,False,2011-01-10,clouds,-1.4,-8.0,50.0,17.0,False
2011-01-10 10:00:00,31,0,31,10,10,1,2011,0,False,2011-01-10,clouds,-1.4,-8.0,50.0,20.0,False
2011-01-10 11:00:00,28,2,30,11,10,1,2011,0,False,2011-01-10,clouds,-0.5,-7.0,47.0,19.0,False
2011-01-10 12:00:00,47,5,52,12,10,1,2011,0,False,2011-01-10,clouds,1.4,-4.0,40.0,19.0,False
2011-01-10 13:00:00,50,4,54,13,10,1,2011,0,False,2011-01-10,clouds,1.4,-4.0,40.0,19.0,False
2011-01-10 14:00:00,47,0,47,14,10,1,2011,0,False,2011-01-10,clouds,1.4,-3.0,40.0,15.0,False
2011-01-10 15:00:00,43,2,45,15,10,1,2011,0,False,2011-01-10,clouds,1.4,-3.0,40.0,15.0,False
